city,latitude,longitude
Albury,-36.08078,146.916473
BadgerysCreek,-33.879722,150.752222
Cobar,-31.462928179493765,145.83279949207966
CoffsHarbour,-30.294311623198947,153.123998054297
Moree,-29.43543220679104,149.82529176258873
Newcastle,-32.91608177408281,151.77964147796388
NorahHead,-33.26710203788164,151.57082977372568
NorfolkIsland,-31.746634699078914,150.04787277291757
Penrith,-33.74634481892771,150.6938242403649
Richmond,-33.60748924956749,150.75386625336034
Sydney,-33.83081715796323,151.21483571201168
SydneyAirport,-33.939290814826045,151.17567336472058
WaggaWagga,-34.86129734600409,147.3416666937391
Williamtown,-32.80068095477111,151.8510969749075
Wollongong,-34.326168682981795,150.91741483633658
Canberra,-35.29204428504029,149.12222033477215
Tuggeranong,-35.41619756698761,149.10372793384192
MountGinini,-35.52885980303949,148.77253605687534
Ballarat,-37.554640149535786,143.84776041864862
Bendigo,-36.63534807213088,144.30069149663643
Sale,-38.108721454493434,147.07891458280668
MelbourneAirport,-37.66897830995278,144.8410272978841
Melbourne,-37.91275375569545,145.12440745378808
Mildura,-34.20277092551053,142.1380650988928
Nhil,-36.325096660750745,141.64718752465197
Portland,-38.35969113256381,141.60779592393638
Watsonia,-37.707502379082484,145.08367341302778
Dartmoor,-37.88673838386702,141.27008318773383
Brisbane,-27.081165983344373,153.1058378377259
Cairns,-16.88639254235802,145.74508610291778
GoldCoast,-26.97303071092105,153.39529593534695
Townsville,-19.231769672572025,146.81424621099475
Adelaide,-34.866634689308846,138.61101509994728
MountGambier,-37.83491695946687,140.7847554247636
Nuriootpa,-34.46412211639306,138.98343310162534
Woomera,-31.169182007409706,136.81637788539166
Albany,-35.00640597766462,117.88417564670291
Witchcliffe,-34.012043393167765,115.09817948517396
PearceRAAF,-31.668850872512568,116.01731142967071
PerthAirport,-31.938547301200682,115.96690584045605
Perth,-31.901367774585886,115.87624055306621
SalmonGums,-32.892080177415046,121.61542238322951
Walpole,-34.96895433755761,116.75726005703419
Hobart,-42.88834274549413,147.32422780070766
Launceston,-41.42076035532433,147.13920370253447
AliceSprings,-22.239170918833846,134.16661395309055
Darwin,-12.428439566681377,130.8467470121547
Katherine,-14.457821955643913,132.2728966865025
Uluru,-24.485318179749623,130.9286692663396
